User Location,Rating,Additional Ratings,Review Title,Review Text,Trip Type,Stay Date,Location,Hotel_ID,hotel_name
,5,,Comfortable stay in centre of Perth,"Quick and efficient check in.
Comfortable room with view of Northbridge and  Perth skyline.
Modern room with comfortable bed.
Good quality TV with Foxtel sports.
Located at cultural centre of Perth, easy walk to Art gallery and Museum of WA.
Lots of restaurants and bars nearby.",COUPLES,31-10-2024,DoubleTree by Hilton Perth Northbridge,18,doubletree by hilton (melbourne) (australia)
,4,,ELEGANTE SOLUZIONE PER SORRENTO,"Siamo tornati pochissimi giorni fa da questa ottima struttura e dunque meravigliosa Sorrento. Hotel vicino al centro, una passeggiata di 10 minuti, 6 piscine a Cascata una dentro l'altra, diversi ristoranti, camere molto grandi. Colazione ottima, super e variegata. Personale gentile, cortese e disponibili, prezzo onesto per essere un Hilton e per il ponte di Ognissanti.
Piccoli nei che non mi fanno mettere la quinta  stella, un pò freddine le camere e la piscina interna fredda, non è riscaldata, come comunicato anche dal bagnino.  
In ogni caso ci tornerei. 
",FAMILY,30-11-2024,Hilton Sorrento Palace,19,hilton sorrento palace(sorrento) (italy)
,5,"Value: 4
Rooms: 5
Location: 5
Cleanliness: 5
Service: 4
Sleep Quality: 5",Perfect place for a family visit to Sorrento,Plenty of room for families if you book the suite. Great breakfast for all tastes with a dramatic view of the volcano. Great pools and easy walk to the main square. Take a stroll through the on site orange grove. You can and should taxi to the smaller fishing village to dine and walk back.,NONE,30-11-2023,Hilton Sorrento Palace,19,hilton sorrento palace(sorrento) (italy)
,5,,Honeymoon Dream,"Visited this hotel for our honeymoon at the start of August. We had the most amazing time and would highly recommended this hotel.

Staff were all very helpful and they gave us a lovely bottle of champagne on arrival for our honeymoon celebrations.",COUPLES,31-08-2024,Hilton Sorrento Palace,19,hilton sorrento palace(sorrento) (italy)
Latina,5,,Ottima struttura,"Sono stato ospite di questo hotel per un evento aziendale e devo dire che ho trovato tutto molto ben organizzato e gestito.
Camere ampie e pulite, dotate di tutti i comfort.
Ristoranti e sale comuni veramente belle.
Funzionale anche il teatro interno e le piscine (una interna ed una esterna).
Sicuramente una struttura di livello alto.

",BUSINESS,30-11-2024,Hilton Sorrento Palace,19,hilton sorrento palace(sorrento) (italy)
Aberdeen,5,,Great base for Sorrento,"Visited early October for a travel conference. 

Brilliant hotel - perfect for hosting the event as had great size rooms for meeting rooms/presentations and large theatre style.  They put great lunches on in the gardens catering for over 500 people. We also had a brilliant gala dinner set up in the breakfast room with pre drinks round the pool. 

Despite being here with “work” I could totally appreciate this hotel from a “leisure” view. Great location with views over sorrento (this does however mean it’s up hill)
NOTE there is another entrance half way up the hill so don’t need to walk to main door. 

Great outdoor bar area. Also roof top pool/bar (however as out of season this was only open in the evening)

Breakfast was great - lovely view too!

Would definitely come back with family. 

For more can check out my insta @eastontravel709",BUSINESS,31-10-2024,Hilton Sorrento Palace,19,hilton sorrento palace(sorrento) (italy)
Barrie,1,,Not recommended,"Treated us like bums. We are a well off couple in our early 70s, they must have thought we were thieves or beggars. We were nicely dressed and have been long-time Hilton customers. The disrespect and dismissive attitude by the lobby and bar staff was insulting. They ignored us for 20 minutes and the place was almost empty. We ended up leaving and spent our money elsewhere.  One word sums this place up... pretentious.  Avoid it and go elsewhere.",COUPLES,31-10-2024,Hilton Sorrento Palace,19,hilton sorrento palace(sorrento) (italy)
Paris,5,,Great hotel with lovely views,"Good location and staff very good our room had a small terrace with stunning views of Vesuvio, it’s a huge hotel and the pool area has a great restaurant. The only downside was the walk uphill when returning from the center but after a few days we got used to it.",FRIENDS,31-10-2024,Hilton Sorrento Palace,19,hilton sorrento palace(sorrento) (italy)
California,5,"Value: 5
Rooms: 5
Location: 5
Cleanliness: 5
Service: 5
Sleep Quality: 5",Great hotel,"Fantastic hotel with great staff and large spacious facilities. Zero negatives sums the review. It is a short walk to the main part of town and away from touristy areas. Coming back is a bit uphill but not too bad. Buffet breakfast has amazing view and great staff. Highly recommend this place. 

Sorrento vs Naples is a big question that I had for visiting Amalfi. No question : Sorrento. We took Italo train from Rome and it comes with a bus service from Naples terminal to Sorrento, The train service from Naples to Sorrento which we took as part of a Pompeii tour: not recommended at all as it is crowded. 

To get to Naples airport early early in the morning was another worry: the hotel arranged a private car service and added it to our room and it was impeccable too. Expensive but worth it. So overall not recommended to stay in Naples if you want to visit capri and Amalfi etc",COUPLES,31-10-2024,Hilton Sorrento Palace,19,hilton sorrento palace(sorrento) (italy)
,4,"Value: 3
Rooms: 5
Location: 4
Cleanliness: 5
Service: 4
Sleep Quality: 5",Beautiful hotel,This is a great hotel with beautiful rooms and views.  Almost all the staff were lovely.  The only complaint I have is that the manager of the bar was maybe having an off day as he charged me for a drink I did not order and blamed it on the computer. Still I would recommend this hotel highly.,COUPLES,31-10-2024,Hilton Sorrento Palace,19,hilton sorrento palace(sorrento) (italy)
Greece,5,"Value: 5
Rooms: 5
Location: 4
Cleanliness: 5
Service: 5",place to be again,The hotel has very good views and is close to the city center. The rooms are renovated the beds and pillows incredible. Breakfast is very good we had great the view from the restaurant on the 7th floor,COUPLES,31-10-2024,Hilton Sorrento Palace,19,hilton sorrento palace(sorrento) (italy)
,5,,"Beautiful furnishings,  great service!","The best service you can get. I booked the Royal Club Room. I gave my feedback directly to the hotel and they addressed it in the best possible way. Service in the club lounge is on a very high level. Special thanks to Ayan who made it a memorable stay for us, and to Vivek for his professional attitude and working hard towards maintaining the hotel's high standing. I was upgraded to the Executive Suite so the pictures show the upgraded room. ",COUPLES,30-11-2024,The Leela Palace New Delhi,20,the leela palace (new delhi) (india)
,5,"Value: 5
Rooms: 5
Location: 5
Cleanliness: 5
Service: 5
Sleep Quality: 5","The Leela Hotel, New Delhi experience!","The entire experience at The Leela Palace , New Delhi has been exquisite and amazing! The Leela is breathtaking. The staff throughout the hotel are very professional and respectful.!!! The housekeeping  staff are available within minutes of a request. The dining experiences have been incredible!",FAMILY,31-10-2024,The Leela Palace New Delhi,20,the leela palace (new delhi) (india)
Dallas,5,,Outstanding service and staff.,Outstanding hotel. I want to recognize Disha Arjun for taking care of my issues. She went above and beyond. All the restaurants food were delicious. The spa was amazing. All the staff were eager to please you and they made my stay unbelievable.,SOLO,31-10-2024,The Leela Palace New Delhi,20,the leela palace (new delhi) (india)
New Delhi,5,"Value: 5
Rooms: 5
Location: 5
Cleanliness: 5
Service: 5
Sleep Quality: 5",A must visit property,"One of the best property in Delhi if you are planning to go for either business or leisure travel.

Each and every staff you'll find very humble and has ready to help/assist attitude.

If you want to experience something above and beyond then you should definitely go for this to experience atlest once , afterwards their service will make you come back.",FAMILY,31-10-2024,The Leela Palace New Delhi,20,the leela palace (new delhi) (india)
,5,"Value: 5
Rooms: 5
Location: 5
Cleanliness: 5
Service: 5
Sleep Quality: 5",Leela Palace New Delhi,"The Leela was an amazing experience, with first class accommodations, and an incredible staff.  Special recognition of our guide, Mr. Kranti whose incredible hospitality, deep knowledge, and incredible care made the visit effortless.  We cannot recommend Mr. Kranti as a guide highly enough, and we look forward to our next visit!",FAMILY,31-10-2024,The Leela Palace New Delhi,20,the leela palace (new delhi) (india)
Boston,5,,Truly a palace,This is a palace and something that would always be remembered for the great staff. Great food and beautiful surroundings. Arrived after a long flight from Boston Mass at 2:00 a.m. emigrated by the staff with flowers around my neck and a beautiful candle ceremony.,COUPLES,31-10-2024,The Leela Palace New Delhi,20,the leela palace (new delhi) (india)
Mauritius,5,"Value: 4
Rooms: 4
Location: 5
Cleanliness: 5
Service: 4
Sleep Quality: 5",Superb,"Amazing hotel. Kudos to Faizan and Raj of housekeeping. All staff are really amazing and nice. Indian Hospitality at its best.

I highly recommend this hotel and will come back next year for sure. All the best to the whole Leela staff and management team. See you all soon. Take care and kep up with the good job",BUSINESS,31-10-2024,The Leela Palace New Delhi,20,the leela palace (new delhi) (india)
,5,,Leela Hospitality out of this world…,"Sahab and Pawan were fantastic in maintaining our room at Leela Palace…
Hospitality like nowhere in the world.

A number of recent visits and always like a small hotel in terms of service but grandeur that is a joy to experience.

And Ankhit in the restaurant was awesome as was Mona Singh (the director of guest experience)",FAMILY,31-10-2024,The Leela Palace New Delhi,20,the leela palace (new delhi) (india)
,5,"Value: 4
Rooms: 5
Location: 5
Cleanliness: 5
Service: 4
Sleep Quality: 5",Authentic Luxury in Perfect Balance,"The harmony between modern amenities and comfortable luxury is perfectly struck here. Every interaction with staff feels genuine rather than scripted, and the way they handle special requests makes you feel like nothing is too much trouble. The cleanliness standards are exceptional, and the morning coffee service is a lovely touch",SOLO,31-07-2024,The Leela Palace New Delhi,20,the leela palace (new delhi) (india)
Mexico City,5,,"Perfection, excellence, luxury and pure beauty..","Without a doubt, the most beautiful hotel I have ever been in more than 40 years of travelling around the world. The luxury is almost too much, but your eyes will be in awe all the time.  The staff makes you feel like royalty. The attention to details incredible.  A experience never to forget. Thank you.",COUPLES,31-10-2024,The Leela Palace New Delhi,20,the leela palace (new delhi) (india)
,4,"Value: 3
Rooms: 4
Location: 5
Cleanliness: 4
Service: 4
Sleep Quality: 4","Great hotel, great location","Super location to explore Paris with our family. Walking distance to the Eiffel Tower and a metro station on the doorstep. Good reception, friendly staff. Great room (we had the family room) and a good breakfast by French standards.",FAMILY,31-10-2024,Hotel Eiffel Seine,21,hotel eiffel seine(paris) (france)
Gold Coast,5,"Value: 5
Rooms: 5
Location: 5
Cleanliness: 5
Service: 5
Sleep Quality: 5",A hidden gem and absolutely worth it.,"A real hidden gem, a great location.  10mins walk to the Tower, close to public transportation. Close to the tootbus for the hop on off bus. From stepping in the door we were greated with warmth and care. This hotel is family run and Exceeded our expectation. The friendliness of the staff and owner were exceptional. Being the last hotel on our 8 week holiday this ended our trip  with a huge positive vibe.  If I'd known how good I would've booked longer. 
Breakfast was convienant, they had a small cosy bar also, open to hotel guests and walk ins. 
We met some lovely travellers as the vibe was super friendly.  Not a bad impression or thought about our stay. 
In the room stated towels not serviced daily, but ours were. Had a working safe., a mini fridge, haur dryer and a bath to relax after all the sight seeing.",COUPLES,31-10-2024,Hotel Eiffel Seine,21,hotel eiffel seine(paris) (france)
,5,"Value: 5
Rooms: 5
Location: 5
Cleanliness: 5
Service: 5
Sleep Quality: 5",Fantastic hotel!,"Absolutely fantastic hotel.  Right across the street from the Bir Hakeim train station so you can get to anywhere in Paris from mere footsteps away.  Beautiful views of the Eiffel Tower from the Bir Hakeim bridge are about a five minute walk, and you can run or walk along the Seine for miles, also with a five minute walk.  Like many places in Europe, the rooms tend to run on the small side - but it's Paris for Gawd's Sake, so how much time are you going to spend in the room anyway?  The staff are downright incredible:  Jean Claude, Miriam, Melanie, Wilfred at night - all of them - are downright terrific.  This is the only hotel we would consider staying in should we return to Paris.  GO!  You will not be disappointed!",COUPLES,30-09-2024,Hotel Eiffel Seine,21,hotel eiffel seine(paris) (france)
Southampton,5,"Value: 5
Rooms: 5
Location: 5
Cleanliness: 5
Service: 5
Sleep Quality: 5",What a wonderful small hotel,"I chose the Eiffel Seine Hotel simply because it was close to the Eiffel Tower; and the reviews looked good. I was able to get in email contact with the hotel very easily and the staff were wonderful in answering my questions and helping to make my stay perfect. I arranged to be collected at the airport and the gentleman who picked me up (and dropped me off when leaving) was very friendly and helpful. The friendliness and helpful ways of all the staff continued throughout my stay and I’d like to say a particular thank you to Myriam. I was given a room on the ground floor which was lovely; the room and ensuite were a good size, well furnished and decorated.  The only small problem I had was there was no grab rail to hold onto going down the 2 or 3 steps in the sunken bath to have a shower so, being nearly 80, I had to be very careful when having a shower. Breakfasts were good and I particularly enjoyed the fresh croissants.  The hotel is close to the banks of the Seine, 10 minutes walk from the Eiffel Tower and has a few restaurants close by. There is a nice little bar in the reception area, and a lovely little courtyard outside my room, where I enjoyed few quiet gin & tonics during my stay. How lucky I was to find such a wonderful small hotel.",SOLO,31-07-2024,Hotel Eiffel Seine,21,hotel eiffel seine(paris) (france)
,5,"Value: 5
Rooms: 5
Location: 5
Cleanliness: 5
Service: 5
Sleep Quality: 5",Wilfred is a cocktail master,"Perfect hotel in great location. Attractions and tower all in short walking distance with good restaurants nearby also. The staff are amazing, especially Wilfred who was most pleasant, helpful and made us one of the best cocktails weve ever had!! Amazing , would highly recommend this place and Wilfred’s cocktail's especially! Fantastic stay will definitely return",COUPLES,30-09-2024,Hotel Eiffel Seine,21,hotel eiffel seine(paris) (france)
,1,,Hotel to escape,"Hotel to escape it does not change the sheets l hygiene and not good and the staff at the reception and mean haughty and yells at you, if you want to spend good day and nights a Trip Tip avoided this hotel, I should have gone to another nicer Inn where the staff to humanity",FAMILY,31-08-2024,Hotel Eiffel Seine,21,hotel eiffel seine(paris) (france)
,4,,Great experience,"We stayed at this hotel for two nights. Very friendly staff, always helpful and friendly reception, good breakfast both sweet and savory. The only downside is that the towels were not changed between days.  Recommendation also because it is 5 minutes walk from the Eiffel Tower, close to metro and grocery.
The gem and mascot of the hotel is the cat Lilly, always ready to receive some caresses.",COUPLES,31-08-2024,Hotel Eiffel Seine,21,hotel eiffel seine(paris) (france)
London,5,,Excellent location and best service!,"Great hotel at the heart of Paris. Location is excellent, in front of the Metro. The rooms are specious. Staff is lovely and welcoming all the time. They made my stay super memorable. Reception was attentive and took care of all needs fast. Fully recommend this hotel!",FAMILY,31-08-2024,Hotel Eiffel Seine,21,hotel eiffel seine(paris) (france)
,5,"Value: 5
Rooms: 5
Location: 5
Cleanliness: 5
Service: 5
Sleep Quality: 5",Perfect location,"Hotel Eiffel Seine was in a great location.  I could walk to the Eiffel Tower in about 10 minutes or less. I was directly across the street from the metro and also where the Seine boat tours took off from.  The room was great and comfortable. Jean-Claude at the front desk was so nice and helpful. 
Thanks! If I ever make it back to a Paris I will probably stay there again.",SOLO,31-08-2024,Hotel Eiffel Seine,21,hotel eiffel seine(paris) (france)
,5,"Value: 5
Rooms: 5
Location: 5
Cleanliness: 4
Service: 5
Sleep Quality: 5","Little Gem of a hotel, in a great location!","We had a great stay in this little gem of a hotel, with a wonderful staff that treats you like family, in the perfect location! The hotel is just a 1 minute walk to the Seine, 5 minutes to the Eiffel Tower, and steps from two Metro Stations, taking you anywhere in Paris. There is a grocery store down the block, and plenty of cafes nearby.  Audrey prepares a delicious breakfast with fresh eggs, pastries, pancakes, meats and cheeses, as well as yogurt, fruit and juices. Jean Claude and Melanie booked us a wonderful dinner cruise, and gave us good travel advice and dinner suggestions during the Olympics. In the evenings, we enjoyed laughs and specialty cocktails made by Wilfred at the bar. The rooms are small but neat and clean, and have a TV, safe, closet, refrigerator, and great hot water in the shower.  We enjoyed our stay in Paris, and the warm welcome and kindness that we received from everyone working at Hotel Eiffel Seine. We will be back!",FAMILY,31-08-2024,Hotel Eiffel Seine,21,hotel eiffel seine(paris) (france)
Frankfurt,4,"Value: 5
Rooms: 5
Location: 5
Cleanliness: 4
Service: 5
Sleep Quality: 5",Weekend trip to Munich - We were very satisfied,"We spent 3 nights at this. 
On the whole very good to highlight : Sleep quality and bed very good, selection & service in the executive lounge top, selection & service at breakfast in the restaurant excellent, check-in & check-out/concierge service great.
Point deduction is because the room was not 100% clean on arrival at the sink (spots & hair) and shower gel & co were not replenished. This was fixed after complaint and then perfectly cleaned.",COUPLES,31-10-2024,Munich Marriott Hotel,22,munich marriott hotel(munich) (germany)
,5,"Value: 5
Rooms: 5
Location: 5
Cleanliness: 5
Service: 5
Sleep Quality: 5",Fantastic Service from Carlos C.,"I had the pleasure of being served by Carlos Cacador at the Restaurant, and he truly elevated our dining experience. From the moment we sat down, Carlos was attentive, friendly, and knowledgeable about the menu. He offered great recommendations and ensured our glasses were never empty. His genuine passion for service made us feel valued and welcome. If you visit, ask for Carlos—he's a standout!",FAMILY,31-08-2024,Munich Marriott Hotel,22,munich marriott hotel(munich) (germany)
Washington DC,5,"Value: 4
Rooms: 5
Location: 5
Cleanliness: 5
Service: 5
Sleep Quality: 5",3rd time as perfect as the prior 2 visits,"3rd trip to this hotel and had an absolutely AMAZING time.  Staff was great, location is fantastic, rooms are clean and modernly appointed.  I last stayed here in 1994 and the hotel then had an upscale feel to it and really represented the Marriott brand very well and it still does.  Breakfast buffet was a great start to each day!  Hotel pool was a nice way to recover after a 'full day' at Oktoberfest.  Took the bus from the airport to the train station and walked the 10 minutes up to the hotel; did the same going back to the airport- was quick, easy, comfortable and a real godsend.  Already looking forward to my next visit to this property! :)",FRIENDS,30-09-2024,Munich Marriott Hotel,22,munich marriott hotel(munich) (germany)
Dubai,5,"Value: 4
Rooms: 5
Location: 4
Cleanliness: 5
Service: 4
Sleep Quality: 4",Excellent Stay at Marriott Munich,"I had a fantastic stay at Marriott Munich. The hotel offers modern, well-appointed rooms that are both comfortable and spacious. The staff were incredibly friendly and attentive, going out of their way to ensure a pleasant experience.

The location is convenient, with easy access to public transportation, making it a great base for exploring the city. The breakfast was excellent, with a wide variety of options to suit every taste, and the dining facilities were top-notch.

The hotel also has great amenities, including a well-equipped fitness center and relaxing wellness area, which added to the overall experience. Whether for business or leisure, I highly recommend Marriott Munich for a comfortable and enjoyable stay. I'll definitely return!",FAMILY,31-03-2024,Munich Marriott Hotel,22,munich marriott hotel(munich) (germany)
,5,"Value: 5
Rooms: 5
Location: 5
Cleanliness: 5
Service: 5
Sleep Quality: 5",German hospitality at its best,German hospitality at its best. We were extremely impressed with the positivity of every staff member on arrival no amount of marble can replace a genuine smile. I find the rooms to be beautiful and the hotel neighbourhood is absolutely excellent .,FAMILY,31-08-2024,Munich Marriott Hotel,22,munich marriott hotel(munich) (germany)
Chandigarh,5,,Just the best hotel around,"Newly renovated, clean rooms, very very supportive staff. I will come here for sure. The food is also amazing. The concierge is extremely helpful. Near the english gardens where you can go for a leisurely morning stroll.All
Amenities provided in room.",FAMILY,31-08-2024,Munich Marriott Hotel,22,munich marriott hotel(munich) (germany)
Chicago,2,,Below par for Marriott ,"Shortly after arriving in my room, I tried to reach the front desk via the ""At Your Service"" feature on my room phone. After 30+ rings and no answer, I gave up. Twenty minutes later, I tried again and still no answer.  Room was very warm and did not cool off, so sleep was difficult.
Please be aware that the ""Champion's"" Sport Bar is currently closed until Sept/Oct 2024 due to remodeling and updating.
Lobby bar staff and ""Alexander"" at the front desk were very friendly and helpful during my stay.
Lesson learned however...Will bring my travel fan when traveling Europe in the summertime. AC was less than adequate. ",BUSINESS,31-08-2024,Munich Marriott Hotel,22,munich marriott hotel(munich) (germany)
Milwaukee,5,,"Nice rooms, good restaurant, and an amazing staff!","We stayed here for a few days on our trek through Bavaria and were pleasantly surprised by the attention to detail we experienced. After a long travel day, we were greeted by the incredibly nice concierge, Michael. He gave us several suggestions on sightseeing adventures and added to our overall enjoyment during our stay. We opted to stay in and try the lobby restaurant the first evening and were surprised by the value and food options. We will definitely return on our next trip to Munich!",FAMILY,31-08-2024,Munich Marriott Hotel,22,munich marriott hotel(munich) (germany)
Melbourne,5,,"Great location, a good service","We decided to book this hotel to attend the euros the hotel was located within walking distance of the subway, as well as a few restaurants. The rooms are spacious and clean, and the service was wonderful.  We enjoyed the bar attached to the Hotel. good food great environment.",FAMILY,31-07-2024,Munich Marriott Hotel,22,munich marriott hotel(munich) (germany)
,5,"Value: 5
Rooms: 5
Location: 5
Cleanliness: 5
Service: 5
Sleep Quality: 5",A dream hotel in Munich,The Marriott Hotel in Munich is simply incredible! A true dream! The staff is very friendly and hospitable! The room is divine! With a huge and very comfortable bed! The bathroom is beautiful and the breakfast is very tasty! I share all my experience on my IG: @alessandrastockler,SOLO,31-07-2024,Munich Marriott Hotel,22,munich marriott hotel(munich) (germany)
,5,,Mr Samir 10/10,"Mr Samir offered a really good service.
Highly recommend.
He even went above and beyond to create a mocktail that was not on the menu. 
Food as usual great
Salmon was fresh 
And the recommendations by Mr Samir was perfect.
From starter to dessert, we felt pampered.",FAMILY,31-10-2024,Le Suffren Hotel & Marina,23,le suffren hotel & marina (port louis) (mauritius)
,5,,Thank you!,"Great food! Great service too. All in all a good time! A bit sad about the jellyfish down for maintenance but really I’m just saying this to fill in words to meet the required amount.:) Many thanks to Samir for a very pleasant and easygoing evening out. We appreciate the service! 

The Sonea family.",FAMILY,31-10-2024,Le Suffren Hotel & Marina,23,le suffren hotel & marina (port louis) (mauritius)
,5,,Night out at Suffren,"The service was excellent! Samir and Antish were very helpful.
We had a great night and we will be going there again!
The buffet was really good for the price and ambiance was great. 
Would highly recommend! 

The expresso martinis were the best!",FRIENDS,31-10-2024,Le Suffren Hotel & Marina,23,le suffren hotel & marina (port louis) (mauritius)
,5,,Happy stay in Mauritius,"Thank you for Le Suffren.The give me the amazing time in Mauritius.  Good environment, food and friendly here. I would like to say thank you to the staff Prajeet and Samir.  They are nice and helpful.  I will stay this hotel again in the future when I come to Mauritius.",BUSINESS,31-10-2024,Le Suffren Hotel & Marina,23,le suffren hotel & marina (port louis) (mauritius)
,5,"Value: 5
Rooms: 5
Location: 5
Cleanliness: 5
Service: 5
Sleep Quality: 5",Dimples gives an exceptional massage,"Chose the full body massage, exceptionally good. It was so relaxing I ended up dozing off. 

The spa is quite enough to relax but clearly busy enough due to the quality of their massages. I have been coming here since 2014. The showers are clean the pool sparking and the gym has enough equipment for a good, but not too strenuous holiday workout. 

Dimples hands worked magic. Feeling extremely refreshed for my flight home.",SOLO,31-10-2024,Le Suffren Hotel & Marina,23,le suffren hotel & marina (port louis) (mauritius)
,3,,It was ok,"The positives:
- Free boat taxi to the small shopping area next door
- Delicious variety for breakfast
- Nice staff
- Spacious clean rooms
- Free sauna
- Fast room service

The negatives:
- The hotel does not feel like a four star hotel
- Old bathroom fixtures
- Shower head was not working well. The water was full on blast and the shower adjuster was not working
- Had to turn 2 different knobs to get a warm temperature water
- Ceiling above bath tub was leaking",BUSINESS,30-09-2024,Le Suffren Hotel & Marina,23,le suffren hotel & marina (port louis) (mauritius)
Forest Side,5,"Value: 5
Location: 5
Cleanliness: 5
Service: 5",You don't need to stay here for the experience.,"Parked nearby earlier. I took a water taxi to get there and back. Even though it was a short distance, I got motion sick. They don't charge you for the simplest minute or hour if you just visit like I did with my father since he's leaving the country. The bar I can recommend since I drank Appletiser and felt like a millionaire at the same time. As a local, I can advise. Remember, behind the bar: men toilets. Next door: female toilets. If you're staying and not driving, drink the alcohol. Overall: use it as a restaurant for the experience. Stay no need.",FAMILY,30-09-2024,Le Suffren Hotel & Marina,23,le suffren hotel & marina (port louis) (mauritius)
,5,,Very good stay in Port Louis Mauritius,"Had a very great stay in Port Louis Mauritius at the hotel Le Suffren. Great hotel with very nice rooms. Clean and with good space. Very pleasant and professional service, both in the front desk and in the restaurant. Great location close to the center of Port Louis. Free Taxi boat takes you across the canal to downtown almost anytime you want. Will to the beach is closest about 30 min drive. The airport is about 45 min drive away. Highly recommended.",BUSINESS,31-08-2024,Le Suffren Hotel & Marina,23,le suffren hotel & marina (port louis) (mauritius)
,5,,"Beautiful hotel on the waterfront, great base to explore Port Louis","A beautiful hotel on the waterfront in Port Louis. There is a free water taxi to ferry you across to the waterfront area with shops and restaurants, which is a fun way to reach the hotel. The food and drink are very good. Every single member of staff was smiling, pleasant and attentive which really makes for a happy stay. Rooms are beautiful and clean. There is a gym and a lovely pool and spa area. Lots of spots to sit by the water and enjoy the view over Port Louis. This is not a beach hotel but it’s a great base for exploring Port Louis.",BUSINESS,31-07-2024,Le Suffren Hotel & Marina,23,le suffren hotel & marina (port louis) (mauritius)
,5,"Value: 5
Rooms: 5
Location: 5
Cleanliness: 5
Service: 5
Sleep Quality: 5",Thank you Hansley and Antish,Hansley the Noght Auditor was friendly and accommodating to our requests during the stay. He was extremely professional and ensured we were looked after. Antish made us the best coffees I’ve tasted in a long while. Beans were fresh and milk brewed to perfection 👌🏾,BUSINESS,31-08-2024,Le Suffren Hotel & Marina,23,le suffren hotel & marina (port louis) (mauritius)
Sydney,5,"Value: 5
Rooms: 5
Location: 5
Cleanliness: 5
Service: 5
Sleep Quality: 5",Stunning hotel and wonderful staff,"I cannot begin to describe what an incredible experience we had at the Capella. Every single detail was immaculate - including the stunning entrance and foyer, beautiful presentation of the rooms, the generous champagne/ cake in our rooms, the attention to detail in the decor (I was there with an architect and designer and they were blown away), the amazing Auriga spa and above all the brilliant staff who could not do enough for us. They made us feel special throughout our visit. We had dinner at a top restaurant in the city and it was interesting to note that their level of service paled in comparison to the outstanding staff at the Capella. Can't say enough about how wonderful this was, I have stayed at fabulous hotels around the world and this is right up there. Do not miss the Auriga spa - even if you just use the pool/ hydrotherapy/ sauna/ steam room/ experience shower, it's beautiful. We stayed in premier king rooms that faced the city, but even the king rooms that face the atrium would be fabulous. Breakfast was extremely generous and very high quality. Loved every minute of this stay.",FRIENDS,31-10-2024,Capella Sydney,24,capella sydney (sydney) (australia)
Southport,5,"Rooms: 5
Location: 5
Cleanliness: 5
Sleep Quality: 5",Heavenly Hotel,Whisked away to heaven. If you feel like spoiling yourself then treat yourself to a stay at Capella in Sydney. A haven and sanctuary with the best most attentive service we have experienced in a 5 star hotel in Australia. Added bonus is the spa and heated swimming pool. Makes it hard to step outside!,COUPLES,31-10-2024,Capella Sydney,24,capella sydney (sydney) (australia)
Sydney,5,,Elevated experience with a cosy feel,"I have to admit that Capella Sydney wasn't on my radar when it comes to high-end hotel properties until recently. I sincerely apologise for my oversight.
We had a staycation there a little while ago and it was a most pleasant experience. What stood out for us is the service and the cosy feel. This is not a boutique hotel but it is certainly smaller than a lot of properties within walking distance of the Circular Quay.
While the staff are not high touch, you have the feeling that you are being looked after. They are always professional and courteous.
The property is housed in the former Department of Education building which was completely renovated and extended. Capella opened in March 2023 so it is a relatively new hotel. It is a couple blocks back from the harbour so you won't get a harbour view. However, being closer to the business side of the CBD certainly give off a different vibe which is not a bad thing.
While the amenities are modern, you can't escape the history of the site. To wit, they have culturalists on site that will brief you on the history of the nearby area and conduct small scheduled tours of the heritage building and the artworks within. That is quite unique.
We stayed in a Tower King room. It is a well appointed and spacious room made even larger via a couple of sliding doors which opens up the large bathroom. A normal door from the hallway gives you the same access if you want to close the sliding doors.
As you'd expect, all the high-end mod cons are present and well integrated into their ecosystem. However, this is where the little touches make a difference. For instance, my wife's pet hate is not being able to find a set of hotel slippers that fits her. Much to her surprise, she found a small and a large pair in the room and the small pair fits perfectly and are very comfortable. That definitely got a thumb up from her.
Oh, one more thing, the hotel has a proper turndown service. It is more than a mini room service. They also set out a bottle of water and a glass by your bed, both sides. They also move the TV remote to the beside table. Nice touch.
Ok, the elephant in the room. For a room of this standard, why is there no bath tub? I don't necessarily need one but its absence raised eyebrows. A mystery for another stay.",COUPLES,31-10-2024,Capella Sydney,24,capella sydney (sydney) (australia)
,5,"Value: 5
Rooms: 5
Location: 5
Cleanliness: 5
Service: 5
Sleep Quality: 5",Luxury and Perfection every time!,Exceptional - everything is next level perfect from the location to the decor and cleanliness to the standard of hospitality and care from staff. Definitely a luxury stay and worth every dollar. We are regulars and the Capella is our go to when we visit Sydney.,COUPLES,31-08-2024,Capella Sydney,24,capella sydney (sydney) (australia)
Flower Mound,5,,Pure Perfection!,Capella is a GEM hotel! Every aspect was perfection. Outstanding service and facilities. The gym and pool are the nicest I’ve ever experienced. You have to try the hot tub massage lounges. Complimentary breakfast was delicious. Try the waffles.,COUPLES,30-09-2024,Capella Sydney,24,capella sydney (sydney) (australia)
,5,"Value: 5
Rooms: 5
Location: 5
Cleanliness: 5
Service: 5
Sleep Quality: 5",Amazing,"This is a Beautiful Hotel.  The Staff was amazing on arrival! The Breakfast was incredible, and the High Tea was so worth it.
The only downfall was no one was at the Front Desk when I needed to checkout, and I had to grab a staff member of the Restaurant to find a member as I had to catch a flight and was panicking - I think it would be best to ensure there is always someone at the Desk please.  Look forward coming back.",SOLO,31-07-2024,Capella Sydney,24,capella sydney (sydney) (australia)
